14:11:45.148 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
14:15:59.971 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ep.yunq.dao.UserDAO. If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository.
14:15:59.971 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ep.yunq.dao.UserInfoDAO. If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository.
14:15:59.971 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Reactive Elasticsearch repository interfaces.
14:15:59.977 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
14:15:59.977 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:16:00.023 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 6 JPA repository interfaces.
14:16:00.041 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
14:16:00.042 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
14:16:00.053 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ep.yunq.dao.AdminRoleDAO. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
14:16:00.053 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ep.yunq.dao.AdminRoleToPerDAO. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
14:16:00.053 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ep.yunq.dao.AdminUserToRoleDAO. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
14:16:00.054 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ep.yunq.dao.PermissionResourceDAO. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
14:16:00.054 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ep.yunq.dao.UserDAO. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
14:16:00.055 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ep.yunq.dao.UserInfoDAO. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
14:16:00.055 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
14:16:00.535 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:16:00.542 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:16:00.543 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:16:00.543 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.43]
14:16:00.709 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:16:00.709 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1380 ms
14:16:00.899 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
14:16:00.937 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.28.Final
14:16:01.028 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
14:16:01.106 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:16:01.696 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
14:16:01.713 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
14:16:02.215 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
14:16:02.224 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:16:02.723 [restartedMain] INFO  c.e.y.s.p.DatabasePathTreeProvider - [/api/test===get===[管理员], /api/index===get===[普通用户,管理员]]
14:16:02.855 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:16:02.956 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
14:16:03.526 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.527 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.527 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.527 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface org.springframework.data.elasticsearch.core.geo.GeoJson to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to interface org.springframework.data.elasticsearch.core.geo.GeoJson as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonLineString to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonLineString as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.528 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiLineString to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.529 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiLineString as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.529 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonPolygon to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.529 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonPolygon as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.529 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPolygon to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.529 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPolygon as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.529 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonGeometryCollection to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:03.529 [restartedMain] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonGeometryCollection as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
14:16:04.594 [restartedMain] INFO  o.s.d.e.support.VersionInfo - Version Spring Data Elasticsearch: 4.1.5
14:16:04.594 [restartedMain] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client in build: 7.9.3
14:16:04.594 [restartedMain] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.9.3
14:16:04.688 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:16:04.704 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
14:16:04.715 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
14:16:04.724 [restartedMain] INFO  com.ep.yunq.YunqApplication - Started YunqApplication in 5.896 seconds (JVM running for 7.128)
14:16:15.551 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:16:15.551 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:16:15.553 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
14:16:57.966 [http-nio-8080-exec-3] INFO  c.e.y.sureness.SurenessFilterExample - POST
14:16:58.009 [http-nio-8080-exec-3] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.ep.yunq.pojo.Result com.ep.yunq.controller.RegisterController.register(com.ep.yunq.pojo.User)]
14:20:24.783 [http-nio-8080-exec-4] INFO  c.e.y.sureness.SurenessFilterExample - POST
14:20:24.784 [http-nio-8080-exec-4] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.ep.yunq.pojo.Result com.ep.yunq.controller.RegisterController.register(com.ep.yunq.pojo.User)]
14:22:27.371 [http-nio-8080-exec-6] INFO  c.e.y.sureness.SurenessFilterExample - GET
14:22:27.376 [http-nio-8080-exec-6] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
14:22:27.376 [http-nio-8080-exec-6] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
14:22:27.456 [http-nio-8080-exec-7] INFO  c.e.y.sureness.SurenessFilterExample - GET
14:22:27.457 [http-nio-8080-exec-7] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
14:22:27.457 [http-nio-8080-exec-7] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
14:22:57.831 [http-nio-8080-exec-8] INFO  c.e.y.sureness.SurenessFilterExample - GET
14:22:57.832 [http-nio-8080-exec-8] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
14:22:57.833 [http-nio-8080-exec-8] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
14:25:18.603 [http-nio-8080-exec-9] INFO  c.e.y.sureness.SurenessFilterExample - POST
14:25:18.606 [http-nio-8080-exec-9] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.ep.yunq.pojo.Result com.ep.yunq.controller.RegisterController.register(com.ep.yunq.pojo.User)]
14:25:51.566 [http-nio-8080-exec-10] INFO  c.e.y.sureness.SurenessFilterExample - POST
14:25:51.568 [http-nio-8080-exec-10] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.ep.yunq.pojo.Result com.ep.yunq.controller.RegisterController.register(com.ep.yunq.pojo.User)]
14:45:53.100 [http-nio-8080-exec-1] INFO  c.e.y.sureness.SurenessFilterExample - GET
14:45:53.100 [http-nio-8080-exec-1] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
14:45:53.101 [http-nio-8080-exec-1] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:02:28.363 [http-nio-8080-exec-2] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:02:28.364 [http-nio-8080-exec-2] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:02:28.364 [http-nio-8080-exec-2] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:02:39.100 [http-nio-8080-exec-3] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:02:39.101 [http-nio-8080-exec-3] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:02:39.101 [http-nio-8080-exec-3] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:05:11.121 [http-nio-8080-exec-5] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:05:11.122 [http-nio-8080-exec-5] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:05:11.123 [http-nio-8080-exec-5] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:25:40.889 [http-nio-8080-exec-4] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:25:40.889 [http-nio-8080-exec-4] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:25:40.889 [http-nio-8080-exec-4] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:25:47.499 [http-nio-8080-exec-6] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:25:47.499 [http-nio-8080-exec-6] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:25:47.499 [http-nio-8080-exec-6] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:30:42.135 [http-nio-8080-exec-7] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:30:42.136 [http-nio-8080-exec-7] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:30:42.136 [http-nio-8080-exec-7] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:31:34.444 [http-nio-8080-exec-8] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:31:34.444 [http-nio-8080-exec-8] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:31:34.444 [http-nio-8080-exec-8] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:32:52.367 [http-nio-8080-exec-9] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:32:52.368 [http-nio-8080-exec-9] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:32:52.368 [http-nio-8080-exec-9] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:33:29.837 [http-nio-8080-exec-10] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:33:29.837 [http-nio-8080-exec-10] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:33:29.838 [http-nio-8080-exec-10] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:33:53.006 [http-nio-8080-exec-1] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:33:53.007 [http-nio-8080-exec-1] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:33:53.008 [http-nio-8080-exec-1] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:39:47.669 [http-nio-8080-exec-2] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:39:47.669 [http-nio-8080-exec-2] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:39:47.669 [http-nio-8080-exec-2] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:44:05.110 [http-nio-8080-exec-3] INFO  c.e.y.sureness.SurenessFilterExample - GET
15:44:05.111 [http-nio-8080-exec-3] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
15:44:05.112 [http-nio-8080-exec-3] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
15:45:08.961 [http-nio-8080-exec-5] INFO  c.e.y.sureness.SurenessFilterExample - POST
15:45:08.962 [http-nio-8080-exec-5] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.ep.yunq.pojo.Result com.ep.yunq.controller.RegisterController.register(com.ep.yunq.pojo.User)]
15:45:23.308 [http-nio-8080-exec-4] INFO  c.e.y.sureness.SurenessFilterExample - POST
15:45:23.309 [http-nio-8080-exec-4] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.ep.yunq.pojo.Result com.ep.yunq.controller.RegisterController.register(com.ep.yunq.pojo.User)]
15:46:13.384 [http-nio-8080-exec-8] INFO  c.e.y.sureness.SurenessFilterExample - POST
15:46:13.416 [http-nio-8080-exec-8] INFO  c.e.y.controller.RegisterController - ---------------- 注册新用户 ----------------------
15:46:13.416 [http-nio-8080-exec-8] INFO  c.e.y.controller.RegisterController - ---------------- 验证验证码 ----------------------
